0,WHAT IS JAVA,*,*,Java is a programming language.,a_custom_entry.aiml
0,WHAT IS CHAT BOT,*,*,Chatbot is a computer program designed to simulate conversation with human users#Comma especially over the Internet.,a_custom_entry.aiml
0,LEMA DO VASCO,*,*,O lema “RESPEITO-IGUALDADE-INCLUSÃO” espelha um compromisso que#Newlinenão é apenas do Clube#Comma mas de todos os vascaínos e vascaínas.,a_custom_entry.aiml
0,WHAT IS VASCO,*,*,O Club de Regatas Vasco da Gama#Comma mais conhecido como Vasco da Gama ou simplesmente Vasco#Comma#Newlinecujo acrônimo é CRVG#Comma é uma entidade sócio-poliesportiva brasileira com sede na cidade do Rio de Janeiro#Comma#Newlinefundada em 21 de agosto de 1898 por um grupo de remadores.,a_custom_entry.aiml
0,WHY THE NAME VASCO,*,*,o clube ganhou o seu nome em homenagem ao navegador português Vasco da Gama. As cores escolhidas para#Newlinesimbolizar o clube foram o preto#Comma o branco e o vermelho#Comma estilizados na cruz de malta#Comma símbolo do time.,a_custom_entry.aiml
0,SING VASCO SONG,*,*,Vamos todos cantar de coração#Newline          A Cruz de Malta é o meu pendão#Newline          Tu tens o nome do heroico português#Newline          Vasco da Gama#Comma a tua fama assim se fez#Newline#Newline          Tua imensa torcida é bem feliz#Newline          Norte-Sul#Comma Norte-Sul deste Brasil#Newline          Tua estrela#Comma na terra a brilhar#Newline          Ilumina o mar#Newline#Newline          No atletismo#Comma és um braço#Newline          No remo#Comma és imortal#Newline          No futebol#Comma és um traço#Newline          De união Brasil-Portugal#Newline#Newline          No atletismo#Comma és um braço#Newline          No remo#Comma és imortal#Newline          No futebol#Comma és um traço#Newline          De união Brasil-Portugal#Newline#Newline          Vamos todos cantar de coração#Newline          A Cruz de Malta é o meu pendão!#Newline          Tu tens o nome do heroico português#Newline          Vasco da Gama#Comma a tua fama assim se fez#Newline#Newline          Tua imensa torcida é bem feliz#Newline          Norte-Sul#Comma Norte-Sul deste Brasil#Newline          Tua estrela#Comma na terra a brilhar#Newline          Ilumina o mar#Newline#Newline          No atletismo#Comma és um braço#Newline          No remo#Comma és imortal#Newline          No futebol#Comma és um traço#Newline          De união Brasil-Portugal#Newline#Newline          No atletismo#Comma és um braço#Newline          No remo#Comma és imortal#Newline          No futebol#Comma és um traço#Newline          De união Brasil-Portugal,a_custom_entry.aiml
0,BEST SOCCER TEAM,*,*,AH essa é fácil#Comma Vasco da Gama,a_custom_entry.aiml
0,WINNER LIBERTADORES 1998,*,*,Nada mais#Comma nada menos que o Gigante da Colina#Comma o Almirante#Comma o Cruzmaltino#Comma o Vasco da Gama!,a_custom_entry.aiml
0,APELIDO DO EDMUNDO,*,*,Animal,a_custom_entry.aiml
0,ESTRELAS NA CAMISA DO VASCO,*,*,8,a_custom_entry.aiml
0,COMO É CONHECIDO O CLASSICO VASCO X FLAMENGO,*,*,Classico dos Melhores,a_custom_entry.aiml
0,GOLEIRO QUE MAIS ATUOU PELO VASCO,*,*,Carlos Germano,a_custom_entry.aiml
